,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
AMC,0.0413231621797285,-22.95715835,-0.020607375517310733,4141000000,-0.06671174216813162,-3.0,-0.0,0.09469767019,-0.2941734430453398,0.2,0.0,2.311179566,-0.28404228694165234,396581,0.024407695566370128,343.87,0.08483185058994254,2,-3.0,-1,-0.0,1.0,0.0,14,28,14,0.0,0.0,0.0,-1.88,-0.0,-4.7,-0.0,-12.86,-0.0,1.37,0.0,0.03,0.0,-3.9,-0.0,-40.88,-0.0,-37.15,-0.0,-32.81,-0.0,-40.88,-0.0,0.0,0.0,1,-0.5,99.42,0.0,-11.24,-0.0,0.55,0.0,12.15,0.0,-57.3,-0.0,-56.5,-0.0,-57.17,-0.0,-27.81,-0.0,2.0,0.0,0,4,0.0,0,11.39,0.0,0.76,0.0,0,0,-24.94,-0.0,50.74,0.0,0,-428.27,-0.0,-4676.92,-0.0,-92.36,-0.0,0.0,0.0,0.0,-613.4,-0.0,0.0,0.31,0.0,41.98,0.0,665.85,0.0,10.47,0.0,1.11,0.0,-3.89,-0.0,-3.95,-0.0,17.51,0.0,0.0,0.0,-36.1,-0.0,3.12,0.0,-0.28,-0.0,-3.69,-0.002702702702702765,-4.19,-0.00238095238095233,12.39,-0.0024154589371980163,0.0,0.0,0.0,0.0,0.25,0.0,4.39,0.0,2.17,0.0,0.13,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,-0.011764705882352951,0.3,0.0,-49.14,-0.0,-35.78,-0.0,-15.92,-0.0,-50.91,-0.0,-38.44,-0.0,0.0,0.0,0.0,0.0,-15.92,-0.0,-116.02,-0.0,0.0,0.0,0,-32.16,-0.0,5.38,-0.005545286506469547,-231.2,-0.0,71.51,0.0,0.0,0.0,-582.22,-0.0,-272.62,-0.0,0.016130646275355952
PRAA,0.0067732321863993505,1.029096053,-0.01547317321432488,1698000000,0.0,6.708203932000001,0.0,0.07898087003,-0.1935700418302843,1.72,0.0,0.8200793651,0.0,82,0.0,-6.48,-0.11354309165526665,-3,-0.0,1,0.0,1.5,0.0,3,3,10,0.0,2.5,0.0,1.8,0.011235955056179785,-2.32,-0.0,29.44,0.0,2.38,0.0,0.0,0.0,2.91,0.0,3.25,0.0,7.4,0.0,7.8,0.0,3.25,0.0,0.0,0.0,3,-0.25,72.81,0.0,2.71,0.0,3.75,0.0,84.05,0.0,-65.87,-0.0,12.28,0.0,-8.04,-0.0,2.76,0.0,6.0,0.0,0,8,0.0,0,23.23,0.0,0.95,0.0,0,0,18.62,0.0,59.64,0.0,0,26.56,0.0,8.33,0.0,7.13,0.0,0.0,0.0,0.0,1135.17,0.0,0.0,1.99,0.0,0.0,0.0,5.64,0.0,1140.81,0.0,0.61,0.0,7.36,0.0,2.03,0.0,2.48,0.0,8.53,-0.04049493813273354,7.63,0.0,5.02,0.0,0.3,0.0,12.9,0.01574803149606308,12.24,0.01661129568106321,4.11,0.017326732673267398,14.77,0.043816254416961076,7.37,0.0,0.11,0.0,18.16,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.29,0.040322580645161324,11.72,0.04177777777777784,11.72,0.04177777777777784,4.69,0.04222222222222231,14.05,0.041512231282431464,0.0,0.0,12.34,0.04222972972972973,13.8,0.041509433962264204,2.05,0.0459183673469387,1.64,0.04458598726114639,1.99,0.0,3.1,0.0,2.76,0.0,8.24,0.0,10.48,0.0,13.43,0.0,9.24,0.0,6.84,0.0,8.24,0.0,-0.37,-0.0,13.09,0.04219745222929931,0,-2.41,-0.0,6.23,0.006462035541195482,2.2,0.0,71.69,0.0,0.0,0.0,10.88,0.0,44.78,0.0,0.016130646275355952
MNST,0.01622187336473048,0.6859748833,-0.015503080112032636,51683000000,0.024054370009312646,13.74772708,0.0,0.0876965365,-0.06519403919939776,10.76,0.0,3.21461069,-0.21475683466192944,595,0.0016835016835016834,5.83,0.5588235294117646,3,0.0,-1,-0.0,5.0,0.0,11,105,3,-0.4,17.2,0.0,33.33,0.02997527812113717,0.0,0.0,9.77,0.0,3.9,0.0,0.0,0.0,1.35,0.0,2.64,0.0,3.06,0.0,3.17,0.0,2.64,0.0,0.0,0.0,9,0.0,70.55,0.0,2.43,0.0,0.29,0.0,75.16,0.0,1.93,0.0,3.97,0.0,3.19,0.0,2.55,0.0,6.0,0.0,0,10,0.0,0,8.6,0.0,0.54,0.0,0,0,5.25,0.0,0.0,0.0,0,26.58,0.0,87.23,0.0,19.16,0.0,0.0,1.01,-0.028846153846153872,60.3,0.0,0.0,4.19,0.0,58.84,0.0,52.19,0.0,53.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,-0.03237410071942441,3.49,0.0,0.0,0.0,0.83,0.0,30.43,0.0353861857774753,29.33,0.03493295695130552,10.81,0.03544061302682002,36.44,0.03522727272727258,16.54,0.0,0.22,0.0,46.43,0.0,1.55,0.0,0.27,0.0,0.0,0.0,10.03,0.03402061855670104,37.12,0.033695349484823195,37.12,0.033695349484823195,2.16,0.03349282296650732,40.37,0.033538146441372124,0.0,0.0,38.37,0.033674568965517244,38.43,0.03362022592791824,18.68,0.03375760929717761,11.39,0.03357531760435581,3.74,0.0,53.01,0.0,31.71,0.0,55.44,0.0,242.61,0.0,31.02,0.0,38.55,0.0,4.08,0.0,55.44,0.0,1.6,0.0,72.59,0.03375106807177449,0,8.35,0.0,8.23,-0.00843373493975907,36.42,0.0,57.74,0.0,0.0,0.0,39.43,0.0,33.63,0.0,0.016130646275355952
CEMI,-0.11369509043927647,-2.9781651389999997,0.09722222250877263,69831000,-0.11054642720672526,5.196152423,0.0,0.07798552057,0.028043679160248136,2.79,0.0,1.272683636,-0.45278897741111157,2048,0.0034296913277804997,-23.58,0.3661645422943219,-6,1.0,-1,-0.0,1.0,0.0,10,12,5,-0.2857142857142857,-26.4,-0.0,-1.05,0.029411764705882377,-2.82,-0.0,1.38,0.0,1.14,0.0,0.0,0.0,-0.41,-0.0,-1.34,-0.0,-1.15,-0.0,-1.0,-0.0,-1.34,-0.0,0.0,0.0,3,0.0,98.22,0.0,-1.21,-0.0,11.56,0.0,37.38,0.0,-0.7,-0.0,0.13,0.0,-0.26,-0.0,-1.26,-0.0,2.0,0.0,0,2,0.0,0,1.59,0.0,0.43,0.0,0,0,0.9,0.0,1.26,0.0,0,-62.78,-0.0,-52.17,-0.0,12.12,0.0,0.0,0.0,0.0,149.97,0.0,0.0,3.22,0.0,178.42,0.0,66.8,0.0,38.35,0.0,0.39,0.0,-1.08,-0.0,0.91,0.0,0.77,0.0,0.0,0.0,-22.37,-0.0,11.52,0.0,0.43,0.0,-3.63,-0.021563342318059318,-4.13,-0.023640661938534403,2.61,-0.02247191011235957,0.0,0.0,0.0,0.0,0.09,0.0,10.95,0.0,0.51,0.0,1.52,0.0,0.38,0.0,2.77,-0.03146853146853142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,-0.029748283752860386,2.4,-0.02834008097166003,2.2,0.0,-49.27,-0.0,-42.34,-0.0,-77.06,-0.0,-127.32,-0.0,-47.03,-0.0,-92.54,-0.0,-26.82,-0.0,-77.06,-0.0,-13.81,-0.0,0.0,0.0,0,-3.8,-0.0,12.77,-0.0046765393608729925,-69.75,-0.0,22.49,0.0,0.0,0.0,-86.98,-0.0,-79.74,-0.0,0.016130646275355952
GTES,0.0030266343825666293,1.007155635,-0.016781516092630174,4779000000,-0.00809464508094645,15.0,0.0,0.09985641868999999,0.0763484587204772,1.33,0.0,5.7597652120000005,0.09183222526115638,123,0.00819672131147541,31.35,0.09577070954211821,2,-3.0,-1,-0.0,0.0,0.0,9,49,16,0.0,-2.7,-0.0,1.58,0.012820512820512832,-2.58,-0.0,9.65,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.73,0.0,1.47,0.0,0.26,0.0,0.0,0.0,4,0.0,15.34,0.0,0.83,0.0,0.28,0.0,25.69,0.0,-14.09,-0.0,-9.33,-0.0,-11.43,-0.0,0.0,0.0,5.0,0.0,0,6,0.0,0,9.56,0.0,0.75,0.0,0,0,-3.79,-0.0,9.7,0.0,0,18.2,0.0,14.29,0.0,8.96,0.0,0.0,-0.06,-0.0,102.77,0.0,0.0,2.63,0.0,92.16,0.0,70.12,0.0,80.73,0.0,0.38,0.0,5.08,0.0,1.01,0.0,0.89,0.0,1.52,-0.025641025641025664,3.31,0.0,5.23,0.0,0.38,0.0,36.15,0.018023092086736147,17.79,0.01831711505437895,2.74,0.018587360594795637,14.87,-0.01783355350066059,0.0,0.0,0.29,0.0,16.36,0.0,0.99,0.0,0.63,0.0,0.37,0.0,1.77,0.029069767441860492,65.81,0.028602688340106368,65.81,0.028602688340106368,0.0,0.0,20.71,0.028301886792452845,0.0,0.0,16.2,0.028571428571428525,0.0,0.0,0.0,0.0,1.79,0.028735632183908073,1.93,0.0,2.76,0.0,1.32,0.0,4.66,0.0,21.98,0.0,4.99,0.0,3.6,0.0,2.73,0.0,4.66,0.0,-0.24,-0.0,0.0,0.0,0,-2.05,-0.0,12.23,-0.0024469820554648743,20.11,0.0,38.0,0.0,0.0,0.0,3.06,0.0,12.38,0.0,0.016130646275355952
PLCE,-0.038646055437100285,0.3249595471,0.05862831882659833,1070000000,0.0,2.236067977,0.0,0.07277438274,0.06954798155982365,0.71,0.0,1.665407885,-0.25244664058488053,587,0.0,49.4,-0.06279643331436165,-3,-0.0,-1,-0.0,1.0,0.0,16,52,1,0.0,0.0,0.0,1.15,-0.041666666666666706,-2.12,-0.0,6.4,0.0,4.36,0.0,0.0,0.0,2.73,0.0,-9.61,-0.0,-13.68,-0.0,-7.13,-0.0,-9.61,-0.0,0.0,0.0,2,0.0,54.56,0.0,-4.54,-0.0,54.88,0.0,98.47,0.0,-67.42,-0.0,-34.26,-0.0,-52.08,-0.0,-17.92,-0.0,4.0,0.0,0,6,-0.14285714285714285,0,104.04,0.0,0.55,0.0,0,0,1.35,0.0,43.46,0.0,0,-35.37,-0.0,-67.08,-0.0,-4.92,-0.0,0.0,1.43,0.03623188405797105,45.15,0.0,0.0,0.76,0.0,111.73,0.0,73.42,0.0,6.84,0.0,0.56,0.0,5.21,0.0,6.79,0.0,0.34,0.0,0.0,0.0,-12.17,-0.0,2.54,0.0,0.08,0.0,-8.28,-0.05371428571428579,-15.9,-0.05413444378346213,1.09,-0.05217391304347812,17.03,-0.0799567801188547,0.0,0.0,0.0,0.0,47.64,0.0,0.82,0.0,0.86,0.0,0.25,0.0,11.57,-0.0773524720893141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8,-0.07713034691815435,0.71,-0.07792207792207799,0.22,0.0,2.83,0.0,2.65,0.0,4.56,0.0,10.34,0.0,13.52,0.0,36.38,0.0,3.17,0.0,4.56,0.0,0.86,0.0,27.14,-0.07718463107786466,0,-6.51,-0.0,10.39,-0.028971962616822312,1.73,0.0,29.56,0.0,0.0,0.0,1.64,0.0,3.17,0.0,0.016130646275355952
IIPR,-0.06401893740136763,0.39304505700000003,0.07528096228848453,4251000000,-0.06386258533362696,7.937253932999999,0.0,0.08922143127,-0.08831248226627886,30.64,0.0,3.4804894180000003,0.7468805869058002,4777,0.0046267087276551,-2.86,-1.7009803921568627,-4,3.0,1,1.0,0.0,0.0,6,6,18,0.0,0.0,0.0,10.86,-0.016304347826086932,-0.88,-0.0,63.12,0.0,5.26,0.0,4.47,0.0,0.0,0.0,3.22,0.0,3.67,0.0,5.09,0.0,3.22,0.0,4.49,0.0,7,0.0,89.69,0.0,5.6,0.0,1.44,0.0,79.51,0.0,-4.89,-0.0,-5.48,-0.0,-5.48,-0.0,4.61,0.0,5.0,0.0,0,4,0.0,0,5.91,0.0,1.02,0.0,0,0,63.12,0.0,5.76,0.0,0,10.57,0.0,16.67,0.0,10.38,0.0,0.0,-23.32,0.017008286088094224,-3271.21,-0.0,0.0,1.77,0.0,0.0,0.0,3271.21,0.0,0.0,0.0,0.08,0.0,1.09,0.0,0.09,0.0,0.93,0.0,1.79,0.01704545454545456,1.64,0.0,4.73,0.0,0.86,0.0,59.78,-0.016614574765586414,43.1,-0.016655258955053546,37.05,-0.016458720467215412,39.03,-0.018113207547169784,0.0,0.0,0.0,0.0,8.83,0.0,0.0,0.0,0.0,0.0,0.08,0.0,2.85,-0.01724137931034477,55.88,-0.016716522963223575,55.88,-0.016716522963223575,0.0,0.0,32.14,-0.016523867809057503,40.09,-0.016678930586215345,32.14,-0.016523867809057503,39.03,-0.01662887377173083,2.85,-0.01724137931034477,30.46,-0.01678502259522271,1.77,0.0,5.22,0.0,5.22,0.0,7.23,0.0,9115.24,0.0,5.85,0.0,5.97,0.0,2.06,0.0,7.23,0.0,-89.42,-0.0,0.0,0.0,0,55.54,0.0,11.16,-0.0053475935828877445,92.3,0.0,97.25,0.0,0.0,0.0,57.51,0.0,61.63,0.0,0.016130646275355952
ALEX,0.012237762237762287,0.1648386479,-0.009775732860454817,1371000000,0.0,5.196152423,0.0,0.06753247346,-0.341605550781225,4.06,0.0,3.486761664,0.0,97,0.0,1.28,1.28,3,0.0,-1,-0.0,1.0,0.0,6,6,18,0.0,-29.4,-0.0,0.64,0.0,-2.79,-0.0,15.14,0.0,0.79,0.0,0.34,0.0,0.69,0.0,0.08,0.0,0.5,0.0,1.23,0.0,0.09,0.0,0.89,0.0,4,0.0,68.9,0.0,0.53,0.0,3.79,0.0,98.27,0.0,-12.19,-0.0,-9.82,-0.0,-11.61,-0.0,-1.0,-0.0,6.0,0.0,0,5,0.0,0,4.22,0.0,0.82,0.0,0,0,14.14,0.0,9.74,0.0,0,-20.49,-0.0,-71.43,-0.0,-32.48,-0.0,0.0,0.05,0.0,74.94,0.0,0.0,1.81,0.0,31.56,0.0,16.91,0.0,60.29,0.0,0.35,0.0,8.36,0.0,0.64,0.0,2.42,0.0,0.45,-0.021739130434782625,1.9,0.0,4.08,0.0,0.54,0.0,53.95,0.006717671207314787,21.71,0.006490496059341704,6.34,0.006349206349206355,0.0,0.0,0.0,0.0,0.01,0.0,3.53,0.0,2.89,0.0,0.26,0.0,0.35,0.0,1.18,0.017241379310344845,222.63,0.014259681093394056,197.89,0.01424837271282852,0.0,0.0,33.92,0.014050822122570967,20.03,0.014177215189873475,20.42,0.013902681231380394,0.0,0.0,1.26,0.01612903225806453,4.22,0.014423076923076828,1.67,0.0,0.22,0.0,0.21,0.0,2.25,0.0,19.03,0.0,1.7,0.0,0.36,0.0,0.32,0.0,2.25,0.0,-0.14,-0.0,25.81,0.014145383104125714,0,-3.41,-0.0,8.25,-0.0024183796856105896,25.41,0.0,25.14,0.0,0.0,0.0,1.51,0.0,9.2,0.0,0.016130646275355952
HD,0.01468605999811919,1.284626615,-0.006572455783967144,347382000000,0.04801066769642922,17.74823935,0.0,0.08046305337000001,-0.1680909539647803,2.21,0.0,3.758294832,0.19261115172558688,4834,0.012992455993294216,22.87,0.1107333657115105,3,0.0,-1,-0.0,5.0,0.0,16,47,1,0.0,11.7,0.0,7.1,0.008522727272727217,-1.77,-0.0,3.06,0.0,7.33,0.0,6.0,0.0,6.89,0.0,11.93,0.0,17.01,0.0,19.35,0.0,11.93,0.0,0.0,0.0,5,0.0,100.07,0.0,15.2,0.0,2.89,0.0,77.97,0.0,-55.14,-0.0,-36.03,-0.0,-45.65,-0.0,15.06,0.0,7.0,0.0,0,9,0.0,0,122.61,0.0,0.58,0.0,0,0,-3.55,-0.0,40.32,0.0,0,19.65,0.0,16.23,0.0,26.29,0.0,0.0,0.13,-0.07142857142857148,25.0,0.0,0.0,1.23,0.0,69.79,0.0,52.17,0.0,7.38,0.0,0.62,0.0,2.28,0.0,13.16,0.0,0.34,0.0,3.66,-0.01876675603217154,5.6,0.0,3.19,0.0,0.05,0.0,21.06,0.016409266409266404,18.52,0.01702361339923112,2.92,0.017421602787456383,25.68,0.015421115065243202,14.64,0.0,0.1,0.0,63.02,0.0,1.31,0.0,0.51,0.0,0.58,0.0,106.42,0.01856814701378252,27.32,0.018642803877703205,27.32,0.018642803877703205,2.34,0.0218340611353711,21.44,0.018527315914489337,0.0,0.0,18.64,0.018579234972677588,21.64,0.018352941176470614,0.0,0.0,2.66,0.019157088122605467,0.51,0.0,17.84,0.0,16.62,0.0,29.03,0.0,54.62,0.0,36.82,0.0,472.82,0.0,5.35,0.0,29.03,0.0,0.0,0.0,47.31,0.0185145317545748,0,5.95,0.0,6.83,-0.0087082728592162,1.44,0.0,33.57,0.0,0.0,0.0,8.86,0.0,12.66,0.0,0.016130646275355952
MFC,-0.029015784586815228,2.5491881569999997,0.03252186724456568,40520000000,-0.035674337799566865,12.0,0.0,0.06435728214,-0.31314324609559346,0.6,0.0,4.110518106000001,-0.1720469442782745,1281,0.006284367635506678,17.45,-0.1630695443645085,0,-1.0,1,0.0,1.0,0.0,6,13,18,0.0,17.4,0.0,0.0,0.0,-2.61,-0.0,19.21,0.0,10.53,0.0,0.84,0.0,1.31,0.0,2.2,0.0,3.07,0.0,3.32,0.0,2.2,0.0,0.0,0.0,5,0.0,0.0,0.0,7.74,0.0,0.0,0.0,38.12,0.0,-322.96,-0.0,0.0,0.0,-324.06,-0.0,-26.98,-0.006261510128913376,5.0,0.0,0,6,0.0,0,29.57,0.0,0.05,0.0,0,0,15.21,0.0,5.63,0.0,0,50.0,0.0,50.0,0.0,69.01,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.41,0.0,0.27,0.0,0.2,0.0,10.36,0.017681728880157142,21.46,0.0,7.6,0.0,0.06,0.0,6.04,-0.008210180623973698,5.58,-0.008880994671403165,0.63,0.0,8.31,-0.021201413427561804,17.4,0.0,0.01,0.0,8.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.1,-0.01785714285714287,9.66,-0.01629327902240327,9.66,-0.01629327902240327,0.55,-0.01785714285714287,2.74,-0.017921146953404955,0.0,0.0,2.74,-0.017921146953404955,0.0,0.0,1.4,-0.014084507042253534,0.72,-0.013698630136986314,0.0,0.0,0.84,0.0,0.83,0.0,0.99,0.0,0.0,0.0,0.0,0.0,13.57,0.0,14.59,0.0,0.99,0.0,0.44,0.0,16.2,-0.01699029126213599,0,-0.03,-0.0,9.76,0.03280423280423286,35.68,0.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,0.016130646275355952
SKY,-0.028672254080282403,0.413073043,0.04577334145092732,2704000000,0.0,7.348469228,0.0,0.07031413115,-0.2878422814627289,0.64,0.0,2.209736103,0.6132568150611124,96,0.010526315789473684,44.44,-0.0772425249169435,0,0.0,1,0.0,1.0,0.0,4,4,9,0.0,0.0,0.0,7.49,-0.01834862385321097,-2.86,-0.0,9.4,0.0,4.72,0.0,0.0,0.0,-0.69,-0.0,1.01,0.0,1.46,0.0,1.77,0.0,1.01,0.0,0.0,0.0,8,0.0,72.02,0.0,1.76,0.0,5.29,0.0,87.54,0.0,-0.47,-0.0,2.85,0.0,1.23,0.0,1.64,0.0,5.0,0.0,0,3,0.0,0,22.39,0.0,0.4,0.0,0,0,5.64,0.0,1.15,0.0,0,10.78,0.0,26.67,0.0,9.92,0.0,0.0,0.0,0.0,36.96,0.0,0.0,2.19,0.0,38.66,0.0,12.35,0.0,10.65,0.0,0.08,0.0,0.5,0.0,0.12,0.0,0.04,0.0,2.26,0.027272727272727094,5.35,0.0,4.48,0.0,0.64,0.0,28.03,-0.0287595287595287,23.1,-0.029003783102143663,1.83,-0.02659574468085097,26.71,-0.02695810564663018,0.0,0.0,0.21,0.0,34.69,0.0,2.36,0.0,0.34,0.0,0.05,0.0,4.75,-0.02663934426229506,44.21,-0.026640246587406446,44.21,-0.026640246587406446,0.0,0.0,25.41,-0.026809651474530804,0.0,0.0,23.65,-0.026748971193415724,27.23,-0.02645691812656412,7.92,-0.025830258302583127,1.99,-0.02926829268292675,1.56,0.0,14.07,0.0,10.44,0.0,18.34,0.0,93.16,0.0,17.77,0.0,16.62,0.0,5.05,0.0,18.34,0.0,0.05,0.0,0.0,0.0,0,-5.59,-0.0,13.82,-0.00503959683225344,10.14,0.0,19.01,0.0,0.0,0.0,5.72,0.0,7.28,0.0,0.016130646275355952
KIN,-0.07692307692307708,-2.025033463,0.13999280325710028,208489000,0.0,14.14213562,0.06904496698970161,0.09487446319000001,-0.14463652284826398,4.02,0.0,2.1910317459999997,0.20649418757462612,318,0.025806451612903226,14.85,0.03196664350243218,3,0.0,-1,-0.0,0.0,0.0,10,82,5,-0.2857142857142857,13.4,0.0,1.24,0.008130081300813016,4.3,0.0,1.71,0.0,1.48,0.0,0.0,0.0,0.0,0.0,-0.56,-0.0,-0.46,-0.0,-0.35,-0.0,-0.56,-0.0,0.0,0.0,5,-0.16666666666666666,77.97,0.0,-0.36,-0.0,5.92,0.0,46.26,0.0,0.76,0.0,0.87,0.0,0.78,0.0,-0.72,-0.0,5.0,0.0,0,1,0.0,0,1.05,0.0,0.31,0.0,0,0,1.71,0.0,0.59,0.0,0,38.46,0.0,34.15,0.0,-33.33,-0.0,0.0,0.0,0.0,77.48,0.0,0.0,9.08,0.0,71.01,0.0,58.92,0.0,65.39,0.0,0.24,0.0,-0.64,-0.0,0.35,0.0,6.14,0.0,0.0,0.0,-13.07,-0.0,9.15,0.0,0.7,0.0,-9.72,0.004132231404958773,-13.21,0.0030372057706910343,4.08,0.004926108374384351,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,1.28,0.0,0.31,0.0,0.22,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,4.74,0.002114164904862534,9.05,0.0,-43.52,-0.0,-43.52,-0.0,-107.6,-0.0,-128.01,-0.0,-44.06,-0.0,-60.54,-0.0,-24.02,-0.0,-107.6,-0.0,-0.74,-0.0,0.0,0.0,0,-18.49,-0.0,10.97,-0.004537205081669595,-752.68,-0.0,59.94,0.0,0.0,0.0,-1145.95,-0.0,-1089.59,-0.0,0.016130646275355952
